"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Card to Transactions (42)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Presentment","H$Channel (22)$Presentment (99)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Presentment","H$Channel (22)$Presentment (99)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel Sort","H$Channel (22)$Channel Sort (98)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel Key","H$Channel (22)$Channel Key (96)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel Key","H$Channel (22)$Channel Key (96)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome Sort","H$Outcome (25)$Outcome Sort (102)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome Class","H$Outcome (25)$Outcome Class (103)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome Class","H$Outcome (25)$Outcome Class (103)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Is Approved","H$Outcome (25)$Is Approved (104)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
